Time (UTC);Open;High;Low;Close;Volume 
2019.03.01 03:04:00;3742,1;3742,6;3741,8;3742,2;0,06284
2019.03.01 03:05:00;3742,3;3742,5;3742,2;3742,4;0,00038
2019.03.01 03:06:00;3742,2;3742,2;3741,4;3741,8;0,1326
2019.03.01 03:07:00;3741,7;3741,8;3741,4;3741,4;0,16502
2019.03.01 03:08:00;3741,4;3741,4;3741,3;3741,3;0,03036
2019.03.01 03:09:00;3741,3;3741,3;3741;3741,3;0,0956
2019.03.01 03:10:00;3741,3;3741,4;3741,3;3741,4;0,00016
2019.03.01 03:11:00;3741,4;3741,5;3741,4;3741,5;0,01766
2019.03.01 03:12:00;3741,6;3741,6;3741,5;3741,5;0,03
2019.03.01 03:13:00;3741,6;3743,4;3741,5;3743,4;0,1875
2019.03.01 03:14:00;3743,6;3743,8;3743,4;3743,7;0,195
2019.03.01 03:15:00;3743,5;3743,7;3742,5;3743,2;0,3525
2019.03.01 03:16:00;3743,3;3743,4;3742,7;3743,4;0,1875
2019.03.01 03:17:00;3743,2;3743,6;3743,2;3743,5;0,165
2019.03.01 03:18:00;3743,6;3743,6;3743,3;3743,4;0,2475
2019.03.01 03:19:00;3743,2;3743,5;3743,1;3743,5;0,1575
2019.03.01 03:20:00;3743,6;3744,1;3743,5;3744,1;0,1725
2019.03.01 03:21:00;3744;3744;3743;3743,1;0,1725
2019.03.01 03:22:00;3743,3;3744,1;3743,3;3744,1;0,165
2019.03.01 03:23:00;3744,3;3744,3;3744,1;3744,3;0,135
2019.03.01 03:24:00;3744,3;3744,8;3744,1;3744,8;0,09
2019.03.01 03:25:00;3744,9;3746;3744,9;3745,9;0,2925
2019.03.01 03:26:00;3745,8;3746,2;3745,6;3746,1;0,18
2019.03.01 03:27:00;3746,2;3746,4;3746;3746,3;0,2025
2019.03.01 03:28:00;3746,4;3747,2;3746,3;3746,6;0,21
2019.03.01 03:29:00;3746,7;3746,8;3745,9;3746,2;0,1675
2019.03.01 03:30:00;3746,3;3747,2;3746,3;3746,9;0,27
2019.03.01 03:31:00;3746,8;3747,3;3746,3;3747,3;0,18252
2019.03.01 03:32:00;3747,4;3747,5;3747,3;3747,4;0,0675
2019.03.01 03:33:00;3747,5;3747,7;3747,5;3747,7;0,0675
2019.03.01 03:34:00;3747,6;3747,9;3747,6;3747,8;0,1275
2019.03.01 03:35:00;3747,7;3747,9;3744,4;3744,4;0,27258
2019.03.01 03:36:00;3744,5;3745,7;3744,2;3745;0,1681
2019.03.01 03:37:00;3745;3745,4;3744,8;3745,1;0,19798
2019.03.01 03:38:00;3745,1;3746;3744,7;3745,6;0,2803
2019.03.01 03:39:00;3745,9;3746;3743,9;3744,3;0,3503
2019.03.01 03:40:00;3744,2;3746,6;3744,2;3745,8;0,41018
2019.03.01 03:41:00;3745,8;3745,8;3745,4;3745,4;0,00032
2019.03.01 03:42:00;3745,4;3745,4;3745,4;3745,4;0,00014
2019.03.01 03:43:00;3745,4;3745,7;3745;3745,1;0,1653
2019.03.01 03:44:00;3745,1;3745,1;3744,9;3745,1;0,00094
2019.03.01 03:45:00;3745,2;3745,2;3744,8;3745,2;0,00064
2019.03.01 03:46:00;3745,2;3745,2;3744,5;3744,7;0,00802
2019.03.01 03:47:00;3745,1;3745,6;3743,8;3745,3;0,14294
2019.03.01 03:48:00;3745,4;3745,5;3745,1;3745,4;0,05298
2019.03.01 03:49:00;3745,4;3745,4;3744,2;3745,1;0,0109
2019.03.01 03:50:00;3745,1;3745,3;3744,1;3744,6;0,00074
2019.03.01 03:51:00;3744,7;3744,9;3744,6;3744,7;0,00052
2019.03.01 03:52:00;3744,7;3745,1;3744,7;3745,1;0,02056
2019.03.01 03:53:00;3745,1;3745,5;3744,7;3745,1;0,00046
2019.03.01 03:54:00;3745,1;3745,4;3745,1;3745,4;0,0002
2019.03.01 03:55:00;3745,4;3745,4;3745,4;3745,4;0,00018
2019.03.01 03:56:00;3745,4;3745,4;3744,7;3744,7;0,00036
2019.03.01 03:57:00;3744,7;3744,8;3743,9;3743,9;0,00046
2019.03.01 03:58:00;3743,9;3744,6;3743,9;3744,6;0,00072
2019.03.01 03:59:00;3744,6;3744,9;3744,4;3744,6;0,00074
2019.03.01 04:00:00;3744,6;3744,7;3744,2;3744,7;0,00056
2019.03.01 04:01:00;3744,7;3744,8;3744,6;3744,7;0,00032
2019.03.01 04:02:00;3744,8;3744,8;3744,7;3744,7;0,0002
2019.03.01 04:03:00;3744,8;3744,8;3744,7;3744,7;0,00034
2019.03.01 04:04:00;3744,7;3744,8;3744,7;3744,8;0,00034
2019.03.01 04:05:00;3744,8;3744,8;3744,7;3744,7;0,00014
2019.03.01 04:06:00;3744,7;3744,8;3744,7;3744,8;0,00038
2019.03.01 04:07:00;3744,8;3744,8;3744,6;3744,7;0,00044
2019.03.01 04:08:00;3744,7;3744,8;3744,7;3744,7;0,00014
2019.03.01 04:09:00;3744,7;3744,7;3744,1;3744,1;0,00074
2019.03.01 04:10:00;3744,1;3744,1;3743,2;3743,2;0,0007
2019.03.01 04:11:00;3743,2;3743,2;3743,1;3743,1;0,00036
2019.03.01 04:12:00;3743,1;3743,5;3742,7;3743,5;0,04774
2019.03.01 04:13:00;3743,6;3743,8;3743,6;3743,7;0,0825
2019.03.01 04:14:00;3743,6;3743,8;3743,4;3743,6;0,145
2019.03.01 04:15:00;3743,7;3744,2;3743,7;3744,1;0,1875
2019.03.01 04:16:00;3744,1;3744,4;3743;3743,4;0,17558
